rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
61,Iliman Ndiaye,SEN,FW,1,2,134,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Nathan Saliba,CAN,MF,1,2,206,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
63,Hans Vanaken,BEL,MF,1,2,362,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
64,Viktor Gyokeres,SWE,FW,1,2,400,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
65,Julio Enciso,PAR,FW,1,2,431,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
66,Mohamed Salah,EGY,FW,1,2,469,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
67,Declan Rice,ENG,MF,1,2,622,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
68,Achraf Hakimi,MAR,DF,1,2,650,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
69,Promise David,CAN,FW,1,1,105,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
70,Baris Alper Yilmaz,TUR,FW,1,1,200,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
71,Rafael Leao,POR,FW,1,1,203,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
72,Trezeguet,EGY,FW,1,1,204,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
73,Mousa Altamari,JOR,FW,1,1,230,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
74,Sebastian Berhalter,USA,MF,1,1,231,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
75,Marcus Rashford,ENG,FW,1,1,258,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
76,Luis Romo,MEX,MF,1,1,284,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
77,Hwang Inbeom,KOR,MF,1,1,286,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Felix Nmecha,GER,MF,1,1,299,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
79,Kaishu Sano,JPN,MF,1,1,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
80,Nathaniel Brown,GER,DF,1,1,319,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
